field_id,catalog_version,field_name,page_name,section_name_en,section_name_fr,section_order,panel_name,panel_suffix,point_type,mitigation_phase,answer_type,is_mandatory,visible_if,option_count,max_points,text_en,text_fr,guidance_en,guidance_fr
1,1.0.0,projectAIAnumber,projectDetails,Project Details,Détails du projet,2,projectDetailsPanel-NS,NS,none,,text,N,,0,0,Published AIA version number,Numéro de la version publiée de l'évaluation de l'incidence algorithmique (EIA),,
2,1.0.0,projectDetailsRespondent,projectDetails,Project Details,Détails du projet,2,projectDetailsPanel-NS,NS,none,,text,N,,0,0,Name of Respondent,Nom de la personne sondée,The name of the respondent is the name of the person that answers the questions.,Le nom de la personne répondant aux questions.
3,1.0.0,projectDetailsJob,projectDetails,Project Details,Détails du projet,2,projectDetailsPanel-NS,NS,none,,text,N,,0,0,Job Title,Titre du poste,,
4,1.0.0,ADMresponsible,projectDetails,Project Details,Détails du projet,2,projectDetailsPanel-NS,NS,none,,text,N,,0,0,Name of ADM responsible for the program using the automated decision system ,Nom du sous-ministre adjoint ou de la sous-ministre adjointe responsable du programme pour lequel le système décisionnel automatisé est utilisé,,
5,1.0.0,projectDetailsDepartment-NS,projectDetails,Project Details,Détails du projet,2,projectDetailsPanel-NS,NS,none,,dropdown,N,,101,0,Department,Ministère,,
6,1.0.0,projectDetailsBranch,projectDetails,Project Details,Détails du projet,2,projectDetailsPanel-NS,NS,none,,text,N,,0,0,Branch,Direction générale,,
7,1.0.0,consultedTeams,projectDetails,Project Details,Détails du projet,2,projectDetailsPanel-NS,NS,none,,text,N,,0,0,Teams consulted on completion of the Algorithmic Impact Assessment,Équipes consultées lors de l'EIA,,
8,1.0.0,projectDetailsTitle,projectDetails,Project Details,Détails du projet,2,projectDetailsPanel-NS,NS,none,,text,N,,0,0,Project Title,Titre du projet,,
9,1.0.0,projectDetailsID,projectDetails,Project Details,Détails du projet,2,projectDetailsPanel-NS,NS,none,,text,N,,0,0,Project ID from IT Plan,Numéro du projet dans le Plan des TI ,,
10,1.0.0,ServiceID,projectDetails,Project Details,Détails du projet,2,projectDetailsPanel-NS,NS,none,,text,N,,0,0,Service ID,ID du service,,
11,1.0.0,projectDetailsProgram,projectDetails,Project Details,Détails du projet,2,projectDetailsPanel-NS,NS,none,,text,N,,0,0,Departmental Program (from Departmental Results Framework),Programme ministériel (Cadre ministériel des résultats),,
12,1.0.0,projectDetailsPhase,projectDetails,Project Details,Détails du projet,2,projectDetailsPanel-NS,NS,none,,radiogroup,Y,,2,0,Project Phase,Phase du projet,,
13,1.0.0,projectDetailsDescription,projectDetails,Project Details,Détails du projet,2,projectDetailsPanel-NS,NS,none,,comment,N,,0,0,Provide a project description:,Veuillez fournir une description du projet :,,
14,1.0.0,businessDrivers1,businessDrivers,Reasons for Automation,Raisons de l'automatisation,3,businessDriversPanel-RS,RS,raw,,checkbox,N,,6,0,What is motivating your team to introduce automation into this decision-making process? (Check all that apply),Qu'est-ce qui motive votre équipe à intégrer l'automatisation dans ce processus décisionnel? (Cochez toutes les réponses qui s'appliquent.),,
15,1.0.0,motivation-other,businessDrivers,Reasons for Automation,Raisons de l'automatisation,3,businessDriversPanel-RS,RS,raw,,comment,N,"{businessDrivers1} contains ""item6""",0,0,Please describe,S'il vous plait décrire,,
16,1.0.0,businessDrivers3,businessDrivers,Reasons for Automation,Raisons de l'automatisation,3,businessDriversPanel-RS,RS,raw,,comment,N,,0,0,What are the client needs the system will address?  Describe how client needs have been identified. ,Quels sont les besoins de la clientèle auxquels le système permettra de répondre? Décrivez les mesures prises pour déterminer les besoins de la clientèle.,,
17,1.0.0,businessDrivers4,businessDrivers,Reasons for Automation,Raisons de l'automatisation,3,businessDriversPanel-RS,RS,raw,,comment,N,,0,0,Describe any positive impacts on clients and Canadian society that the system is expected to have.,Veuillez décrire tous les avantages que le système devrait apporter à la clientèle et à la société canadienne.,,
18,1.0.0,businessDrivers5,businessDrivers,Reasons for Automation,Raisons de l'automatisation,3,businessDriversPanel-RS,RS,raw,,dropdown,N,,3,2,How effective will the system likely be in meeting client needs?,Dans quelle mesure le système permettra-t-il de répondre efficacement aux besoins de la clientèle?,,
19,1.0.0,businessDrivers5B,businessDrivers,Reasons for Automation,Raisons de l'automatisation,3,businessDriversPanel-RS,RS,raw,,comment,N,,0,0,Describe why effectiveness is as selected.,Préciser les raisons pour lesquelles l'efficacité est telle que sélectionnée.,,
20,1.0.0,businessDrivers7,businessDrivers,Reasons for Automation,Raisons de l'automatisation,3,businessDriversPanel-RS,RS,raw,,comment,N,,0,0,Describe how you will ensure that the system is confined to addressing the client needs identified.,Veuillez décrire les mesures que vous prendrez pour vous assurer que le système ne servira qu'à répondre aux besoins de la clientèle.,,
21,1.0.0,businessDrivers8,businessDrivers,Reasons for Automation,Raisons de l'automatisation,3,businessDriversPanel-RS,RS,raw,,comment,N,,0,0,Describe any trade-offs between client interests and program objectives that you have considered during the design of the project.,Veuillez décrire tous les compromis envisagés lors de la conception du projet pour concilier les intérêts de la clientèle et les objectifs du programme.,,
22,1.0.0,businessDrivers6A,businessDrivers,Reasons for Automation,Raisons de l'automatisation,3,businessDriversPanel-RS,RS,raw,,comment,N,,0,0,"Describe any improvements, benefits, or advantages your department expects from using an automated system.","Veuillez décrire les améliorations, les bienfaits ou les avantages que votre ministère entend obtenir de l'utilisation d'un système automatisé.",,
23,1.0.0,businessDrivers6B,businessDrivers,Reasons for Automation,Raisons de l'automatisation,3,businessDriversPanel-RS,RS,raw,,comment,N,,0,0,"What are your current program indicators, service standards or performance targets?","Quels sont les indicateurs, les normes de service ou les objectifs de rendement de votre programme?",,
24,1.0.0,businessDrivers6C,businessDrivers,Reasons for Automation,Raisons de l'automatisation,3,businessDriversPanel-RS,RS,raw,,comment,N,,0,0,"What is your current performance level against these indicators, standards or targets?","Quel est votre niveau de rendement par rapport à ces indicateurs, à ces normes ou à ces objectifs?",,
25,1.0.0,businessDrivers6D,businessDrivers,Reasons for Automation,Raisons de l'automatisation,3,businessDriversPanel-RS,RS,raw,,comment,N,,0,0,"How do you expect the system will change performance against your program indicators, service standards or performance targets?","À votre avis, en quoi le système améliorera-t-il votre rendement par rapport aux indicateurs, aux normes de service ou aux objectifs de rendement établis pour votre programme?",,
26,1.0.0,businessDrivers9,businessDrivers,Reasons for Automation,Raisons de l'automatisation,3,businessDriversPanel-RS,RS,raw,,radiogroup,N,,2,1,Have alternative non-automated processes been considered?,D'autres processus non automatisés ont-elles été envisagées?,,
27,1.0.0,businessDrivers10,businessDrivers,Reasons for Automation,Raisons de l'automatisation,3,businessDriversPanel-RS,RS,raw,,comment,N,"{businessDrivers9} contains ""item1-0""",0,0,"If non-automated processes were considered, why was automation identified as the preferred option?","Si oui, pourquoi l'automatisation a-t-elle été la solution choisie?",,
28,1.0.0,businessDrivers11,businessDrivers,Reasons for Automation,Raisons de l'automatisation,3,businessDriversPanel-RS,RS,raw,,checkbox,N,,6,2,What would be the consequence of not deploying the system?,Quelle serait la conséquence du non-déploiement du système?,,
29,1.0.0,businessDrivers12,businessDrivers,Reasons for Automation,Raisons de l'automatisation,3,businessDriversPanel-RS,RS,raw,,comment,N,"{businessDrivers11} contains ""item6-0""",0,0,Describe,Veuillez expliquer votre réponse.,,
30,1.0.0,riskProfile1,riskProfile,Risk Profile,Profil de risque,4,riskProfilePanel-RS,RS,raw,,radiogroup,N,,2,3,"Is the project within an area of intense public scrutiny (for example, because of privacy concerns) and/or frequent litigation?","Le projet s'inscrit-il dans un domaine sujet à un examen public approfondi (par exemple, en raison de préoccupations liées à la protection de la vie privée) et/ou à des litiges fréquents?",,
31,1.0.0,riskProfile2,riskProfile,Risk Profile,Profil de risque,4,riskProfilePanel-RS,RS,raw,,radiogroup,N,,2,3,Does the line of business serve equity denied groups?,Des groupes privés d'équité sont-ils desservis dans ce secteur d'activité?,,
32,1.0.0,riskProfile2A,riskProfile,Risk Profile,Profil de risque,4,riskProfilePanel-RS,RS,raw,,comment,N,"{riskProfile2} contains ""item1-3""",0,0,Indicate which equity denied groups are served and describe your mitigation strategies to prevent adverse impacts for these groups.,Veuillez indiquer les groupes privés d'équité desservis et décrire les stratégies d'atténuation qui seront prises pour éviter de leur causer préjudice.,,
33,1.0.0,riskProfile3,riskProfile,Risk Profile,Profil de risque,4,riskProfilePanel-RS,RS,raw,,radiogroup,N,,2,1,Are there any population groups that the automated decision system should not be applied to?,Certains groupes de population ne devraient-ils pas être exclus de l'application du système décisionnel automatisé?,,
34,1.0.0,riskProfile3A,riskProfile,Risk Profile,Profil de risque,4,riskProfilePanel-RS,RS,raw,,comment,N,"{riskProfile3} contains ""item1-1""",0,0,Indicate the population group and explain why the automated decision system should not be applied.,Veuillez indiquer les groupes de population qui devraient être exclus et expliquer pourquoi le système décisionnel automatisé ne doit pas être utilisé.,,
35,1.0.0,riskProfile4,riskProfile,Risk Profile,Profil de risque,4,riskProfilePanel-RS,RS,raw,,radiogroup,N,,4,4,"Has the system been assessed to understand whether it would create or exacerbate barriers for persons with disabilities, and are measures in place to address any identified issues?","Le système a-t-il été soumis à une évaluation visant à déterminer s’il est susceptible d’accentuer les difficultés auxquelles sont confrontées les personnes en situation de handicap ou d’en créer de nouvelles, et des mesures sont-elles en place pour résoudre les problèmes cernés?",,
