og_record_id,submission_label,catalog_version,validated,part,point_type,heading,question_number,question_text,_closed,answer_text,points,has_points_marker,is_free_text,field_name,shown,question_uid,match_score,hidden_by
44fe9b0d-d730-43cf-ba7e-d952d55f88f2,Original,0.10.0,Y,Project Details,none,,1,Name of Respondent Mike Leahy,False,,0,N,Y,,Y,,0.766,
44fe9b0d-d730-43cf-ba7e-d952d55f88f2,Original,0.10.0,Y,Project Details,none,,2,Job Title Director General,False,,0,N,Y,,Y,,0.514,
44fe9b0d-d730-43cf-ba7e-d952d55f88f2,Original,0.10.0,Y,Project Details,none,,3,Department Canada Border Services Agency,False,,0,N,Y,,Y,,0.4,
44fe9b0d-d730-43cf-ba7e-d952d55f88f2,Original,0.10.0,Y,Project Details,none,,4,Branch Commercial & Trade Branch,False,,0,N,Y,,Y,,0.385,
44fe9b0d-d730-43cf-ba7e-d952d55f88f2,Original,0.10.0,Y,Project Details,none,,5,Project Title CBSA Assessment and Revenue Management (CARM),False,,0,N,Y,,Y,,0.458,
44fe9b0d-d730-43cf-ba7e-d952d55f88f2,Original,0.10.0,Y,Project Details,none,,6,Project ID from IT Plan PRJ-00005304,False,,0,N,Y,,Y,,0.78,
44fe9b0d-d730-43cf-ba7e-d952d55f88f2,Original,0.10.0,Y,Project Details,none,,7,Departmental Program (from Department Results Framework) PI 10500 Commercial Facilitation and Compliance Program,False,,0,N,Y,,Y,,0.659,
44fe9b0d-d730-43cf-ba7e-d952d55f88f2,Original,0.10.0,Y,Project Details,none,,8,Project Phase,False,Implementation,0,Y,N,projectDetailsPhase,Y,51,1.0,
44fe9b0d-d730-43cf-ba7e-d952d55f88f2,Original,0.10.0,Y,Project Details,none,,9,Please provide a project description:,True,"The CBSA’s mandate is to provide integrated border services that support
national security and public safety priorities while facilitating the free flow of
persons and goods that meet all requirements under its program legislation.
Managing the efficient importation of commercial goods into Canada,
including the accurate and effective assessment and collection of duties and
taxes owed to the Government of Canada, is key to the facilitation aspect of
the CBSA’s mandate.
In 2009, the Office of the Auditor General (OAG) appeared before the Standing",0,N,Y,projectDetailsDescription,Y,6,1.0,
44fe9b0d-d730-43cf-ba7e-d952d55f88f2,Original,0.10.0,Y,Project Details,none,About The System,10,Please check which of the following capabilities apply to your system.,True,"Risk assessment: Analyzing very large data sets to identify patterns and
recommend courses of action and in some cases trigger specific actions
Process optimization and workflow automation: Analyzing large data sets to",0,N,Y,aboutSystem1,Y,9,1.0,
44fe9b0d-d730-43cf-ba7e-d952d55f88f2,Original,0.10.0,Y,Impact Questions and Answers,raw,Reasons for Automation,1,What is motivating your team to introduce automation into this decision-making process?,True,(Check all that apply),0,N,Y,businessDrivers1,Y,7,0.891,
44fe9b0d-d730-43cf-ba7e-d952d55f88f2,Original,0.10.0,Y,Impact Questions and Answers,raw,Use innovative approaches,2,"What client needs will the system address and how will this system meet them? If possible, describe how client needs have been identified.",True,"The utilization of the CARM system will enable Trade Chain Partners (TCPs) to
meet all of the requirements governing the accounting of commercial goods
imported into Canada, including, but not limited to:
classifying their commercial goods under the appropriate tariff",0,N,Y,businessDrivers3,Y,79,1.0,
44fe9b0d-d730-43cf-ba7e-d952d55f88f2,Original,0.10.0,Y,Impact Questions and Answers,raw,and taxes. Errors and omissions in customs payments create an unfair,3,Please describe any public benefits the system is expected to have.,True,"When importers and other trade chain partners are compliant with applicable
legislation and revenue requirements, the correct amount of duties and taxes",0,N,Y,businessDrivers4,Y,80,1.0,
44fe9b0d-d730-43cf-ba7e-d952d55f88f2,Original,0.10.0,Y,Impact Questions and Answers,raw,are remitted to the Crown. The CARM system better equips the CBSA to,4,How effective will the system likely be in meeting client needs?,False,Very effective,0,Y,N,businessDrivers5,Y,81,1.0,
44fe9b0d-d730-43cf-ba7e-d952d55f88f2,Original,0.10.0,Y,Impact Questions and Answers,raw,are remitted to the Crown. The CARM system better equips the CBSA to,5,"Please describe any improvements, benefits, or advantages you expect from using an automated system. This could include relevant program indicators and performance targets.",True,The system's automated features are strengthening the Agency’s ability to,0,N,Y,businessDrivers6,Y,82,1.0,
44fe9b0d-d730-43cf-ba7e-d952d55f88f2,Original,0.10.0,Y,Impact Questions and Answers,raw,percentage of annual payments made using electronic payment methods);,6,Please describe how you will ensure that the system is confined to addressing the client needs identified above.,True,"The CARM Client Portal allows for Trade Chain Partners (TCPs) who have a
business number and enrolled in CBSA commercial programs to have direct",0,N,Y,businessDrivers7,Y,83,1.0,
44fe9b0d-d730-43cf-ba7e-d952d55f88f2,Original,0.10.0,Y,Impact Questions and Answers,raw,CARM has governance bodies in place to review any requests to change,7,Please describe any trade-offs between client interests and program objectives that you have considered during the design of the project.,True,"Extensive consultations with the trade community occurred during the design
phase of the project through working groups, training sessions, and trade
committees which resulted in an agreed approach to deployments occurring
over a number of releases. Trade chain partners (TCPs) made significant
investments to upgrade their systems to align to CARM program requirements
and objectives, and significant time and effort conducting extensive testing of
the new system with the CBSA, and training to use the new portal. CARM is
widely available to all importers and other trade chain partners,  using the
CARM client portal that allows TCPs to access, an online portal, to submit
their commercial accounting declarations to the CBSA, manage adjustments
and corrections, and more. After releasing the system, the CBSA provides the",0,N,Y,businessDrivers8,Y,84,1.0,
44fe9b0d-d730-43cf-ba7e-d952d55f88f2,Original,0.10.0,Y,Impact Questions and Answers,raw,CARM Client Support Helpdesk ensures that TCPs have constant access,8,Have alternative non-automated processes been considered?,False,Yes,0,Y,N,businessDrivers9,Y,85,1.0,
44fe9b0d-d730-43cf-ba7e-d952d55f88f2,Original,0.10.0,Y,Impact Questions and Answers,raw,CARM Client Support Helpdesk ensures that TCPs have constant access,9,"If non-automated processes were considered, why was automation identified as the preferred option?",True,"Risking officers manually assess transactions with conventional tools and a
much smaller set of criteria. Due to the high volume of transactions, this is an
extremely inefficient risking strategy. Continuing to operate with outdated
systems, would lead to missed revenues and limit compliance activities that
the CBSA officers can undertake. Additionally, calculating duties and taxes is",0,N,Y,businessDrivers10,Y,86,1.0,
44fe9b0d-d730-43cf-ba7e-d952d55f88f2,Original,0.10.0,Y,Impact Questions and Answers,raw,now completed through the CARM system and can be done much more,10,What would be the consequence of not deploying the system?,True,Service quality is not as high,0,N,Y,businessDrivers11,Y,87,1.0,
44fe9b0d-d730-43cf-ba7e-d952d55f88f2,Original,0.10.0,Y,Impact Questions and Answers,raw,Risk Profile,11,Is the project within an area of intense public scrutiny (e.g. because of privacy concerns) and/or frequent litigation?,False,No,0,Y,N,riskProfile1,Y,52,1.0,
44fe9b0d-d730-43cf-ba7e-d952d55f88f2,Original,0.10.0,Y,Impact Questions and Answers,raw,Risk Profile,12,Are clients in this line of business particularly vulnerable?,False,No,0,Y,N,riskProfile2,Y,53,1.0,
44fe9b0d-d730-43cf-ba7e-d952d55f88f2,Original,0.10.0,Y,Impact Questions and Answers,raw,Risk Profile,13,Are stakes of the decisions very high?,False,No,0,Y,N,riskProfile3,Y,54,1.0,
