og_record_id,system_ref,system_name_en,system_name_fr,department_en,department_fr,department_code,portal_department_code,branch,submission_count,first_submission_label,latest_submission_label,current_submission_id,current_impact_level,current_score_pct,portal_url_en,service_count,service_ids,service_names_en,service_match_confidence,crosswalk_status
01396e33-2c69-47e5-9381-32e717943b96,1,Advanced Analytics Triage of Visitor Record Applications,Triage au moyen de l’analytique avancée des demandes de fiche du visiteur,"Immigration, Refugees and Citizenship Canada","Immigration, Réfugiés et Citoyenneté Canada",050,cic,Various Branches at IRCC,1,Original,Original,01396e33-2c69-47e5-9381-32e717943b96-1,2,32.5,https://open.canada.ca/data/en/dataset/01396e33-2c69-47e5-9381-32e717943b96,,,,,
04556b29-284a-4d2b-8076-928476d64553,2,Automated Triage and Positive Eligibility Determinations of In-Canada Work Permit Applications,Triage et déterminations positives de la recevabilité automatisés des demandes de permis de travail pour les demandeurs au Canada,"Immigration, Refugees and Citizenship Canada","Immigration, Réfugiés et Citoyenneté Canada",050,cic,Operations Planning and Performance Branch,1,Original,Original,04556b29-284a-4d2b-8076-928476d64553-1,2,41.3,https://open.canada.ca/data/en/dataset/04556b29-284a-4d2b-8076-928476d64553,,,,,
061ee9d1-a04a-4590-a381-df8527390f68,3,Leveraging Artificial Intelligence (AI) for backlog reduction: AI assistant prototype,Tirer parti de l’intelligence artificielle (IA) pour réduire les retards : prototype d’assistant IA,Public Services and Procurement Canada,Services publics et Approvisionnement Canada,127,pwgsc-tpsgc,Data Modernization,1,Original,Original,061ee9d1-a04a-4590-a381-df8527390f68-1,2,36.5,https://open.canada.ca/data/en/dataset/061ee9d1-a04a-4590-a381-df8527390f68,,,,,
123aefbb-c9cb-4243-9be3-7f901daf13f7,4,Old Age Security Extended Absence Leave Prioritization,Priorisation des absences prolongées pour la Sécurité de la vieillesse,Employment and Social Development Canada,Emploi et Développement social Canada,014,esdc-edsc,Integrity Service Branch,1,Original,Original,123aefbb-c9cb-4243-9be3-7f901daf13f7-1,1,24.6,https://open.canada.ca/data/en/dataset/123aefbb-c9cb-4243-9be3-7f901daf13f7,,,,,
1257e5c1-243f-4ab8-be42-e7433c8ebe70,5,Passport Program Facial Recognition System,Système de reconnaissance faciale du programme de Passeport,"Immigration, Refugees and Citizenship Canada","Immigration, Réfugiés et Citoyenneté Canada",050,cic,Visitors and Identity Management Branch,1,Original,Original,1257e5c1-243f-4ab8-be42-e7433c8ebe70-1,2,33.3,https://open.canada.ca/data/en/dataset/1257e5c1-243f-4ab8-be42-e7433c8ebe70,,,,,
240f1dbc-a3b5-46b1-9b5f-d0d3cbec9378,6,Integrity trends analysis tool,Outil d’analyse des tendances en matière d’intégrité,"Immigration, Refugees and Citizenship Canada","Immigration, Réfugiés et Citoyenneté Canada",050,cic,Integrity Risk Management,1,Original,Original,240f1dbc-a3b5-46b1-9b5f-d0d3cbec9378-1,2,27.0,https://open.canada.ca/data/en/dataset/240f1dbc-a3b5-46b1-9b5f-d0d3cbec9378,,,,,
24d2cab2-6a0d-4234-9239-b6ce102ebabd,7,Classification of E.I. claim recalculations using Machine Learning,Classifier les demandes de révisions  d'Assurance Emploi  à l’aide du Machine Learning,Employment and Social Development Canada,Emploi et Développement social Canada,014,esdc-edsc,Benefits and Integrated Services Branch (BISB),1,Original,Original,24d2cab2-6a0d-4234-9239-b6ce102ebabd-1,1,25.2,https://open.canada.ca/data/en/dataset/24d2cab2-6a0d-4234-9239-b6ce102ebabd,,,,,
380f8da2-a18e-4747-a29f-7775450b7283,8,Internal Activity and Access Monitoring,Surveillance de l’activité interne et des accès,Employment and Social Development Canada,Emploi et Développement social Canada,014,esdc-edsc,Integrity Services Branch,1,Original,Original,380f8da2-a18e-4747-a29f-7775450b7283-1,1,23.8,https://open.canada.ca/data/en/dataset/380f8da2-a18e-4747-a29f-7775450b7283,,,,,
452e10be-383d-4d7a-9c7d-6484dc366a4a,9,Study Permit Extension Eligibility Model,Modèle de recevabilité à la prolongation du permis d'études,"Immigration, Refugees and Citizenship Canada","Immigration, Réfugiés et Citoyenneté Canada",050,cic,Various Branches at IRCC,1,Original,Original,452e10be-383d-4d7a-9c7d-6484dc366a4a-1,2,29.3,https://open.canada.ca/data/en/dataset/452e10be-383d-4d7a-9c7d-6484dc366a4a,,,,,
52b8574d-5c95-463b-b375-8edd092cea30,10,Using artificial intelligence (AI) to automate candidate evaluations in the staffing process's assessment phase,Processus de dotation avec la plateforme Knockri : un outil d’évaluation des candidatures,Treasury Board of Canada Secretariat,Secrétariat du Conseil du Trésor du Canada,056,tbs-sct,Human Resources Division,1,Original,Original,52b8574d-5c95-463b-b375-8edd092cea30-1,1,22.2,https://open.canada.ca/data/en/dataset/52b8574d-5c95-463b-b375-8edd092cea30,,,,,
6b429c8e-ee5b-451a-883f-b6180ada9286,11,Machine Learning Workload,Évaluation de l'incidence  algorithmique - Utilisation de l'Apprentissage Automatique pour réduire les inventaires du programme de l'Assurance emploi,Employment and Social Development Canada,Emploi et Développement social Canada,014,esdc-edsc,Benefits and Integrated Services Branch (BISB),1,Original,Original,6b429c8e-ee5b-451a-883f-b6180ada9286-1,2,27.8,https://open.canada.ca/data/en/dataset/6b429c8e-ee5b-451a-883f-b6180ada9286,,,,,
6ca819ed-dfde-4c4e-ac6b-831310825b03,12,Compensation Virtual Assistant (CVA),Assistant virtuel de la rémunération (AVR),Public Services and Procurement Canada,Services publics et Approvisionnement Canada,127,pwgsc-tpsgc,PSPC - Human Capital Management Pay Administration Branch,1,Original,Original,6ca819ed-dfde-4c4e-ac6b-831310825b03-1,1,20.4,https://open.canada.ca/data/en/dataset/6ca819ed-dfde-4c4e-ac6b-831310825b03,,,,,
6cba99b1-ea2c-4f8a-b954-3843ecd3a7f0,13,Advanced Analytics Triage of Overseas Temporary Resident Visa Applications,Triage au moyen de l’analyse avancée des demandes de visa de résident temporaire présentées depuis l’étranger,"Immigration, Refugees and Citizenship Canada","Immigration, Réfugiés et Citoyenneté Canada",050,cic,Various Branches at IRCC,1,Original,Original,6cba99b1-ea2c-4f8a-b954-3843ecd3a7f0-1,2,31.8,https://open.canada.ca/data/en/dataset/6cba99b1-ea2c-4f8a-b954-3843ecd3a7f0,,,,,
71b309a0-efd2-4e85-8124-37e935c23aef,14,Administrative Activities Support Tool (AAST),Outil de soutien aux activités administratives (OSAA),"Immigration, Refugees and Citizenship Canada","Immigration, Réfugiés et Citoyenneté Canada",050,cic,International Platform Branch,1,Original,Original,71b309a0-efd2-4e85-8124-37e935c23aef-1,1,21.4,https://open.canada.ca/data/en/dataset/71b309a0-efd2-4e85-8124-37e935c23aef,,,,,
