submission_id,system_id,catalog_version,field_name,question_uid,point_type,points,answer_value_raw,option_index,answer_text_en,answer_text_fr,is_free_text,translation_source,mapped
1-1,1,0.10.0,projectDetailsRespondent,1,none,0,Various Stakeholders at IRCC,,Various Stakeholders at IRCC,Divers intervenants à IRCC,Y,submitted_translation,Y
1-1,1,0.10.0,projectDetailsJob,2,none,0,N/A,,N/A,S. o.,Y,submitted_translation,Y
1-1,1,0.10.0,projectDetailsDepartment-NS,3,none,0,050,38,Citizenship and Immigration (Department of),Citoyenneté et de l'Immigration (Ministère de la),N,catalog,Y
1-1,1,0.10.0,projectDetailsBranch,4,none,0,Various Branches at IRCC,,Various Branches at IRCC,Diverses directions générales à IRCC,Y,submitted_translation,Y
1-1,1,0.10.0,projectDetailsTitle,5,none,0,Advanced Analytics Triage of Visitor Record Applications,,Advanced Analytics Triage of Visitor Record Applications,Triage au moyen de l’analytique avancée des demandes de fiche du visiteur,Y,submitted_translation,Y
1-1,1,0.10.0,projectDetailsID,49,none,0,N/A,,N/A,S. o.,Y,submitted_translation,Y
1-1,1,0.10.0,projectDetailsProgram,50,none,0,Visitors,,Visitors,Visiteurs,Y,submitted_translation,Y
1-1,1,0.10.0,projectDetailsPhase,51,none,0,item2,1,Implementation,Mise en oeuvre,N,catalog,Y
1-1,1,0.10.0,projectDetailsDescription,6,none,0,"This project seeks to streamline the eligibility assessment for all visitor record applications in order to help IRCC decision-makers process applications more efficiently. The advanced data analytics system identifies routine applications for streamlined processing. When the system finds these applications, it can decide that an applicant is eligible, before sending the file to an officer to decide if the applicant remains admissible to Canada and make the final decision. To do this, it uses a mix of rules developed with IRCC officers and rules generated through machine learning based on previous IRCC case data. All rules are assessed for potential bias or discrimination.

For all other cases that are not considered routine, the tool helps to sort and assign cases to officers for manual review and decisions based on their level of complexity, using rules and criteria developed with IRCC officers. This means that these cases will be processed using the same process that was used before IRCC began using this new system. It will also provide case annotations, or notes for officers, which summarize basic application information for the officer to support faster processing. Officers still perform a full individual assessment of each application and its supporting documents.

The tool never refuses or recommends refusing applications. IRCC officers make the final decision to approve or refuse on all applications.

The tool is expected to result in faster processing times for all applications. 

Visitor records are one of IRCC’s most straightforward services. These applications are considered low impact, as clients are not applying for refugee status, permanent residence or citizenship, and are not entitled to study or work in Canada.",,"This project seeks to streamline the eligibility assessment for all visitor record applications in order to help IRCC decision-makers process applications more efficiently. The advanced data analytics system identifies routine applications for streamlined processing. When the system finds these applications, it can decide that an applicant is eligible, before sending the file to an officer to decide if the applicant remains admissible to Canada and make the final decision. To do this, it uses a mix of rules developed with IRCC officers and rules generated through machine learning based on previous IRCC case data. All rules are assessed for potential bias or discrimination.

For all other cases that are not considered routine, the tool helps to sort and assign cases to officers for manual review and decisions based on their level of complexity, using rules and criteria developed with IRCC officers. This means that these cases will be processed using the same process that was used before IRCC began using this new system. It will also provide case annotations, or notes for officers, which summarize basic application information for the officer to support faster processing. Officers still perform a full individual assessment of each application and its supporting documents.

The tool never refuses or recommends refusing applications. IRCC officers make the final decision to approve or refuse on all applications.

The tool is expected to result in faster processing times for all applications. 

Visitor records are one of IRCC’s most straightforward services. These applications are considered low impact, as clients are not applying for refugee status, permanent residence or citizenship, and are not entitled to study or work in Canada.","Ce projet vise à simplifier l’évaluation de la recevabilité pour toutes les demandes de fiche de visiteurs afin d’aider les décideurs d’IRCC à traiter les demandes plus efficacement. Le système avancé d’analyse de données identifie les demandes de routine pour un traitement rationalisé. Lorsque le système trouve ces demandes, il peut décider qu’un demandeur est recevable, avant d’envoyer le dossier à un agent pour décider si le demandeur est interdit de territoire et prendre la décision finale. Pour ce faire, il utilise un mélange de règles élaborées avec les agents d’IRCC et de règles générées par l’apprentissage automatique basé sur des données de cas antérieurs d’IRCC. Toutes les règles sont évaluées pour détecter tout biais ou discrimination potentiels. 

Pour tous les autres cas qui ne sont pas considérés comme routiniers, l’outil aide à trier et à assigner les demandes aux agents pour un examen manuel et les décisions en fonction de leur niveau de complexité, en utilisant des règles et des critères élaborés avec les agents d’IRCC. Cela signifie que ces demandes seront traitées selon le même processus qu’avant qu’IRCC ne commence à utiliser ce nouveau système. Il fournira également des annotations de cas, ou des notes à l’intention des agents, qui résument certains renseignements de base contenus dans la demande pour l’agent afin d’accélérer le traitement. Les agents procèdent toujours à une évaluation individuelle complète de chaque demande et de ses pièces justificatives.  

L’outil ne refuse ni ne recommande jamais de refuser des demandes. Les agents d’IRCC prennent la décision finale d’approuver ou de refuser toutes les demandes.  

L’outil devrait entraîner des temps de traitement plus rapides pour toutes les demandes.   

Les fiches des visiteurs sont l’un des services les plus simples d’IRCC. Ces demandes sont considérées comme ayant un faible impact, car les clients ne demandent pas le statut de réfugié, la résidence permanente ou la citoyenneté, et n’ont pas le droit d’étudier ou de travailler au Canada.",Y,submitted_translation,Y
1-1,1,0.10.0,businessDrivers1,7,raw,0,"[""item1"", ""item5"", ""item6""]",0;4;5,Existing backlog of work or cases;Use innovative approaches;Other (please specify),Arriéré de travail ou de cas existant;Utilisation d'approches novatrices;Autre (veuillez préciser),N,catalog,Y
1-1,1,0.10.0,motivation-other,8,raw,0,"Facilitate more efficient use of IRCC resources in the application processing, assist in managing the growing volume of applications, improve processing times, and identify complex cases.",,"Facilitate more efficient use of IRCC resources in the application processing, assist in managing the growing volume of applications, improve processing times, and identify complex cases.","Faciliter l’utilisation plus efficace des ressources d’IRCC dans le traitement des demandes, aider à gérer le nombre croissant de demandes, et améliorer les délais de traitement et l’identification de cas complexes.",Y,submitted_translation,Y
1-1,1,0.10.0,riskProfile1,52,raw,3,item1-3,0,Yes,Oui,N,catalog,Y
1-1,1,0.10.0,riskProfile2,53,raw,0,item2-0,1,No,Non,N,catalog,Y
1-1,1,0.10.0,riskProfile3,54,raw,0,item2-0,1,No,Non,N,catalog,Y
1-1,1,0.10.0,riskProfile4,55,raw,0,item2-0,1,No,Non,N,catalog,Y
1-1,1,0.10.0,projectAuthority1,56,raw,0,item2-0,1,No,Non,N,catalog,Y
1-1,1,0.10.0,aboutSystem1,9,none,0,"[""item5""]",4,"Process optimization and workflow automation: Analyzing large data sets to identify and anomalies, cluster patterns, predict outcomes or ways to optimize; and automate specific workflows","Optimisation des processus et automatisation des flux de travail: Analyser de vastes jeux de données pour déterminer et corriger les anomalies, les modèles de grappes, prévoir les résultats ou les façons d'optimiser; et d'automatiser des flux de travail spécifique.",N,catalog,Y
1-1,1,0.10.0,aboutAlgorithm1,57,raw,0,item2-0,1,No,Non,N,catalog,Y
1-1,1,0.10.0,aboutAlgorithm2,58,raw,0,item2-0,1,No,Non,N,catalog,Y
1-1,1,0.10.0,decisionSector1,11,raw,1,"[""item6-1""]",6,Other (please specify),Autre (veuillez préciser),N,catalog,Y
1-1,1,0.10.0,decisionSector2,8,raw,0,Immigration services,,Immigration services,Services d’immigration,Y,submitted_translation,Y
1-1,1,0.10.0,impact1,,unknown,0,item2-0,,,,N,,N
1-1,1,0.10.0,impact2,,unknown,3,item1-3,,,,N,,N
1-1,1,0.10.0,impact3,47,raw,4,item1-4,0,Yes,Oui,N,catalog,Y
1-1,1,0.10.0,impact5,14,raw,4,item1-4,0,Yes,Oui,N,catalog,Y
1-1,1,0.10.0,impact6,15,raw,1,item1-1,0,Reversible,Réversible,N,catalog,Y
1-1,1,0.10.0,impact7,16,raw,2,item2-2,1,"Some impacts may last a matter of months, but some lingering impacts may last longer",Certaines incidences peuvent durer quelques mois ou plus longtemps.,N,catalog,Y
