option_set_id,option_index,text_en,text_fr
1,0,Yes,Oui
1,1,No,Non
2,0,None,Aucun
2,1,Protected A,Protégé A
2,2,Classified / Confidential,Classifié/confidentiel
2,3,Protected B / Protected C,Protégé B/Protégé C
2,4,Secret / Top Secret,Secret/Très Secret
3,0,Open Data Source,Source de données ouvertes
3,1,Federal government,Gouvernement fédéral
3,2,Other Canadian Government (prov/municipal),Autre gouvernement canadien (provincial/municipal)
3,3,Private Sector / NGO,Secteur privé / ONG
4,0,Your institution,Votre institution
4,1,Another federal institution,Une autre institution fédérale
4,2,Another level of government,Autre niveau de gouvernement
4,3,A foreign government or non-government third party,Un gouvernement étranger ou un tiers non gouvernemental
5,0,Audio and text files,Fichiers audio et textuels
5,1,Images and videos,Images et vidéos
6,0,"Image and object recognition: Analyzing very large data sets to automate the recognition, classification, and context associated with an image or object.","Reconnaissance d'images et d'objets: Analyser de volumineux jeux de donnée pour automatiser la reconnaissance, la classification et le context associés à une image ou à un objet."
6,1,"Text and speech analysis: Analyzing large data sets to recognize, process, and tag text, speech, voice, and make recommendations based on the tagging","Analyse du texte et de la parole: Analyser de vastes jeux de données pour reconnaître, traiter et étiqueter le texte, la parole, la voix et faire des recommendations en fonction du marquage."
6,2,Risk assessment: Analyzing very large data sets to identify patterns and recommend courses of action and in some cases trigger specific actions,"Évaluation des risques: Analyser de volumineux jeux de données pour déterminer les tendances et recommander des mesures et, dans certains cas, déclencher la prise de mesures précises."
6,3,"Content generation: Analyzing large data sets to categorize, process, triage, personalize, and serve specific content for specific contexts","Génération de contenu: Analyser de vastes jeux de données pour créer des catégories, traiter, trier, personnaliser et servir un contenu spécifique destiné à des contextes particuliers."
6,4,"Process optimization and workflow automation: Analyzing large data sets to identify and anomalies, cluster patterns, predict outcomes or ways to optimize; and automate specific workflows","Optimisation des processus et automatisation des flux de travail: Analyser de vastes jeux de données pour déterminer et corriger les anomalies, les modèles de grappes, prévoir les résultats ou les façons d'optimiser; et d'automatiser des flux de travail spécifique."
6,5,Other (please specify),Autre (veuillez préciser)
7,0,Existing backlog of work or cases,Arriéré de travail ou de cas existant
7,1,Improve overall quality of decisions,Amélioration de la qualité générale des décisions
7,2,Lower transaction costs of an existing program,Réduction des coûts de transaction d'un programme existant
7,3,The system is performing tasks that humans could not accomplish in a reasonable period of time,Le système exécute des tâches que les humains ne sont pas en mesure d'accomplir dans un délai raisonnable
7,4,Use innovative approaches,Utilisation d'approches novatrices
7,5,Other (please specify),Autre (veuillez préciser)
8,0,Service cannot be delivered at all,La prestation du service est impossible
8,1,Service cannot be delivered in a timely or efficient manner,La prestation du service ne peut pas être effectuée en temps voulu ou de manière efficace
8,2,Service costs are too high,Les coûts du service sont trop élevés
8,3,Service quality is not as high,La qualité du service n’est pas aussi élevée
8,4,Service delivery cannot achieve performance targets,La prestation du service ne parvient pas à atteindre les objectifs de rendement
8,5,Other (please specify),Autre (veuillez préciser)
9,0,Slightly effective,Légèrement efficace
9,1,Moderately effective,Modérément efficace
9,2,Very effective,Très efficace
10,0,Strategic Policy and Planning,Politique et planification stratégique
10,1,Data Governance,Gouvernance des données
10,2,Program Policy,Politique du programme
10,3,Legal Services,Services légaux
10,4,Access to Information and Privacy Office,Bureau de l'accès à l'information et de la protection des renseignements personnels
10,5,Communications services,Services des communications
10,6,Client Experience / Client Relationship Management,Expérience client / Gestion de la relation client
10,7,Digital Policy,Politique sur le numérique
10,8,Human Resources,Ressources humaines
10,9,TBS Office of the Chief Human Resources Officer,Bureau de la dirigeante principale des ressources humaines du SCT
10,10,TBS Office of the Chief Information Officer,Bureau de la dirigeante principale de l’information du SCT
10,11,Office of the Privacy Commissioner of Canada,Commissariat à la protection de la vie privée du Canada
10,12,Networks for Equity-seeking Employees,Réseaux pour les employés visés par l’équité
10,13,Accessibility Working Groups,Groupes de travail sur l’accessibilité
10,14,2SLGBTQI+ Secretariat,Secrétariat 2ELGBTQI+
10,15,Other (describe),Autre (décrire)
11,0,Civil Society,Société civile
11,1,Academia,Milieu universitaire
11,2,Industry,Industrie
11,3,Bargaining Agents,Agents négociateurs
11,4,Governments in other Jurisdictions,Gouvernements d’autres administrations
11,5,International Organizations,Organisations internationales
11,6,Clients or their Representatives,Clients ou leurs représentants
11,7,Indigenous Groups,Groupes autochtones
11,8,Other (describe),Autre (décrire)
12,0,Strategic Policy and Planning,Politique et planification stratégiques
12,1,Data Governance,Gouvernance des données
12,2,Program Policy,Politique du programme
12,3,Legal Services,Services légaux
12,4,Access to Information and Privacy Office,Bureau de l'accès à l'information et de la protection des renseignements personnels
12,5,Communications services,Services des communications
12,6,Client Experience / Client Relationship Management,Expérience client / Gestion de la relation client
12,7,Digital Policy,Politique sur le numérique
12,8,Human Resources,Ressources humaines
12,9,TBS Office of the Chief Human Resources Officer,Bureau de la dirigeante principale des ressources humaines du SCT
12,10,TBS Office of the Chief Information Officer,Bureau de la dirigeante principale de l’information du SCT
12,11,Office of the Privacy Commissioner of Canada,Commissariat à la protection de la vie privée du Canada
12,12,Networks for Equity-seeking Employees,Réseaux pour les employés visés par l’équité
12,13,Accessibility Working Groups,Groupes de travail sur l’accessibilité
12,14,2SLGBTQI+ Secretariat,Secrétariat 2ELGBTQI+
12,15,Other (describe),Autre (décrire)
13,0,Health related services,Services liés à la santé
13,1,"Economic interests (grants and contributions, tax benefits, debt collection)","Intérêts économiques (subventions et contributions, avantages fiscaux, recouvrement de dettes)"
13,2,"Social assistance (employment insurance, disability claims)","Aide sociales (assurance-emploi, demandes de prestations d'invalidité)"
13,3,"Access and mobility (security clearances, border crossings)","Accès et mobilité (habitations de sécurité, passages frontaliers)"
13,4,Licensing and issuance of permits,Accréditation et délivrance de permis
13,5,"Employment (recruitment, hiring, promotion, performance evaluation, monitoring, security clearance)","Emploi (recrutement, embauche, promotion, évaluation de rendement, surveillance, habilitation de sécurité)"
13,6,Other (please specify),Autre (veuillez préciser)
14,0,Little to no impact,Incidence faible ou nulle
14,1,Moderate impact,Incidence modérée
14,2,High impact,Incidence élevée
14,3,Very high impact,Incidence très élevée
15,0,Full automation (the system will make an administrative decision),Automatisation complète (le système prendra une décision administrative)
15,1,"Partial automation (the system will contribute to administrative decision-making by supporting an officer through assessments, recommendations, intermediate decisions, or other outputs)","Automatisation partielle (le système facilitera la prise de décisions administratives en appuyant un agent au moyen d’évaluations, de recommandations, de décisions provisoires ou d’autres résultats)"
16,0,Reversible,Réversible
16,1,Likely reversible,Probablement réversible
16,2,Difficult to reverse,Difficile à inverser
16,3,Irreversible,Irréversible
17,0,Impacts are most likely to be brief,Les incidences risquent fort probablement d’être brèves
17,1,"Some impacts may last a matter of months, but some lingering impacts may last longer",Certaines incidences peuvent durer quelques mois ou plus longtemps.
17,2,Impacts can last years,Les incidences peuvent durer des années.
17,3,Most impacts are perpetual,La plupart des incidences sont sans limite dans le temps.
18,0,Design,Conception
18,1,Implementation,Mise en oeuvre
19,0,Health related services,Services liés à la santé
19,1,"Economic interests (grants and contributions, tax benefits, debt collection)","Intérêts économiques (subventions et contributions, avantages fiscaux, recouvrement de dettes)"
19,2,"Social assistance (ei, disability claims, etc)","Aide sociales (assurance-emploi, demandes de prestations d'invalidité, etc.)"
19,3,"Access and mobility ( security clearences, border crossings)","Accès et mobilité (habitations de sécurité, passages frontaliers)"
19,4,Licensing and issuance of permits,Accréditation et délivrance de permis
19,5,Other (please specify),Autre (veuillez préciser)
20,0,Little to no impact,Incidence faible ou nulle
20,1,Moderate impact,Incidence modérée
20,2,High impact,Incidence élevée
20,3,Very high impact,Incidence très élevée
21,0,Impacts are most likely to be brief,Les incidences risquent fort probablement d’être brèves
21,1,"Some impacts may last a matter of months, but some lingering impacts may last longer",Certaines incidences peuvent durer quelques mois ou plus longtemps.
21,2,"Impacts can last over a year, with some longer",Les incidences peuvent durer plus d’un an et plus.
21,3,Most impacts are perpetual,La plupart des incidences sont sans limite dans le temps.
22,0,Audio and text files,Fichiers audio et textuels
22,1,Images and videos,Images et vidéos
23,0,Yes,
23,1,No,
24,0,Existing backlog of work or cases,Arriéré de travail ou de cas existant
24,1,Improve overall quality of decisions,Amélioration de la qualité générale des décisions
24,2,Lower transaction costs of an existing program,Réduction des coûts de transaction d'un programme existant
24,3,The system is performing tasks that humans cound not accomplish in a reasonable period of time,Le système exécute des taĉhes que les humans ne sont pas en mesure d'accomplir dans us délai raisonnable
24,4,Use innovative approaches,Utilisation d'approches novatrices
24,5,Other (please specify),Autre (veuillez préciser)
25,0,"Image and object recognition: Analyzing very large data sets to automate the recognition, classification, and context associated with an image or object.","Reconnaissance d'images et d'objets: Analyser de volumineux jeux de donnée pour automatiser la reconnaissance, la classification et le context associés à une image ou à un objet."
25,1,"Text and speech analysis: Analyzing large data sets to recognize, process, and tag text, speech, voice, and make recommendations based on the tagging","Analyse du texte et de la parole: Analyser de vastes jeux de données pour reconnaître, traiter et étiqueter le texte, la parole, la voix et faire des recommendations en fonction du marquage."
25,2,Risk assessment: Analyzing very large data sets to identify patterns and recommend courses of action and in some cases trigger specific actions,"Évaluation des risques: Analyser de volumineux jeux de données pour déterminer les tendances et recommander des mesures et, dans certains cas, déclencher la prise de mesures précises."
25,3,"Content generation: Analyzing large data sets to categorize, process, triage, personalize, and serve specific content for specific contexts","Génération de contenu: Analyser de vastes jeux de données pour créer des catégories, traiter, trier, personnaliser et servir un contenu spécifique destiné à des contextes particuliers."
25,4,"Process optimization & workflow automation: Analyzing large data sets to identify and anomalies, cluster patterns, predict outcomes or ways to optimize; and automate specific workflows","Optimisation des processus et automatisation des flux de travail: Analyser de vastes jeux de connées pour déterminer et corriger les anomalies, les modèles de grappes, prévoir les résultats ou les façons d'optimiser; et d'automatiser des flux de travail spécifique."
25,5,Other (please specify),Autre (veuillez préciser)
26,0,"Image and object recognition: Analyzing very large data sets to automate the recognition, classification, and context associated with an image or object.","Reconnaissance d'images et d'objets: Analyser de volumineux jeux de donnée pour automatiser la reconnaissance, la classification et le context associés à une image ou à un objet."
26,1,"Text and speech analysis: Analyzing large data sets to recognize, process, and tag text, speech, voice, and make recommendations based on the tagging","Analyse du texte et de la parole: Analyser de vastes jeux de données pour reconnaître, traiter et étiqueter le texte, la parole, la voix et faire des recommendations en fonction du marquage."
26,2,Risk assessment: Analyzing very large data sets to identify patterns and recommend courses of action and in some cases trigger specific actions,"Évaluation des risques: Analyser de volumineux jeux de données pour déterminer les tendances et recommander des mesures et, dans certains cas, déclencher la prise de mesures précises."
26,3,"Content generation: Analyzing large data sets to categorize, process, triage, personalize, and serve specific content for specific contexts","Génération de contenu: Analyser de vastes jeux de données pour créer des catégories, traiter, trier, personnaliser et servir un contenu spécifique destiné à des contextes particuliers."
26,4,"Process optimization & workflow automation: Analyzing large data sets to identify and anomalies, cluster patterns, predict outcomes or ways to optimize; and automate specific workflows","Optimisation des processus et automatisation des flux de travail:    Analyser de vastes jeux de connées pour déterminer et corriger les anomalies, les modèles de grappes, prévoir les résultats ou les façons d'optimiser; et d'automatiser des flux de travail spécifique."
26,5,Other (please specify),Autre (veuillez préciser)
27,0,Existing backlog of work or cases,Arriéré de travail ou de cas existant
27,1,Improve overall quality of decisions,Amélioration de la qualité générale des décisions
27,2,Lower transaction costs of an existing program,Réduction des coûts de transaction d'un programme existant
27,3,The system is performing tasks that humans could not accomplish in a reasonable period of time,Le système exécute des taĉhes que les humans ne sont pas en mesure d'accomplir dans un délai raisonnable
27,4,Use innovative approaches,Utilisation d'approches novatrices
27,5,Other (please specify),Autre (veuillez préciser)
28,0,Strategic Policy and Planning,Politique et planification stratégiques
28,1,Data Governance,Gouvernance des données
28,2,Program Policy,Politique du programme
28,3,Legal Services,Services légaux
28,4,Access To Information Policy,Politique sur l'accès à l'information
28,5,Communications,
28,6,Client Experience / Client Relationship Management,Expérience client / Gestion de la relation client
29,0,Civil Society,Société civile
29,1,Academia,Milieu universitaire
29,2,Industry,Industrie
30,0,Design,
30,1,Implementation,Implémentation
31,0,Health related services,Services liés à la santé
31,1,"Economic interests (grants and contributions, tax benefits, debt collection)","Intérêts économiques (subventions et contributions, avantages fiscaux, recouvrement de dettes)"
31,2,"Social assistance (ei, disability claims, etc)","Aide sociales (assurance-emploi, demandes de prestations d'invalidité, etc.)"
31,3,"Access and mobility (security clearances, border crossings)","Accès et mobilité (habitations de sécurité, passages frontaliers)"
31,4,Licensing and issuance of permits,Accréditation et délivrance de permis
31,5,Other (please specify),Autre (veuillez préciser)
32,0,Strategic Policy and Planning,Politique et planification stratégique
32,1,Data Governance,Gouvernance des données
32,2,Program Policy,Politique du programme
32,3,Legal Services,Services légaux
32,4,Access to Information and Privacy Office,Bureau de l'accès à l'information et de la protection des renseignements personnels
32,5,Communications,
32,6,Client Experience / Client Relationship Management,Expérience client / Gestion de la relation client
32,7,Other (describe),Autre (décrire)
33,0,Civil Society,Société civile
33,1,Academia,Milieu universitaire
33,2,Industry,Industrie
33,3,Office of the Privacy Commissioner,Commissariat à la protection de la vie privée
33,4,Other (describe),Autre (décrire)
34,0,Strategic Policy and Planning,Politique et planification stratégiques
34,1,Data Governance,Gouvernance des données
34,2,Program Policy,Politique du programme
34,3,Legal Services,Services légaux
34,4,Access to Information and Privacy Office,Bureau de l'accès à l'information et de la protection des renseignements personnels
34,5,Communications,
34,6,Client Experience / Client Relationship Management,Expérience client / Gestion de la relation client
34,7,Other (describe),Autre (décrire)
35,0,Design,Conception
35,1,Implementation,Implémentation
